Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.961062	3.693527	8.886000	12.429999	
0.100000	3.402601	3.202393	17.122000	20.820000	
0.100000	2.939915	2.891854	25.341999	26.309999	
0.100000	2.640216	2.661330	31.115999	32.180000	
0.100000	2.436225	2.548536	35.408001	34.799999	
0.100000	2.288854	2.493262	38.837997	35.919998	
0.100000	2.171434	2.315618	41.489998	38.969997	
0.100000	2.084184	2.337871	43.233997	40.039997	
0.100000	2.013223	2.152916	45.197998	42.959999	
0.100000	1.954250	2.172238	46.473999	42.639999	
0.100000	1.896711	2.369586	47.885998	39.610001	
0.100000	1.852371	2.055798	48.795998	46.699997	
0.100000	1.816111	2.043423	49.879997	45.899998	
0.100000	1.777709	2.103234	50.709999	45.730000	
0.100000	1.749390	2.165345	51.571999	44.480000	
0.100000	1.715533	1.979222	52.143997	48.239998	
0.100000	1.689757	2.133456	52.812000	46.110001	
0.100000	1.670671	2.033180	53.581997	47.829998	
0.100000	1.646290	1.859102	54.011997	50.730000	
0.100000	1.631987	1.869735	54.143997	50.189999	
0.100000	1.616323	1.789533	54.733997	51.500000	
0.100000	1.601378	1.773898	55.042000	52.889999	
0.100000	1.582677	2.011131	55.520000	48.599998	
0.100000	1.575888	1.775878	55.584000	51.879997	
0.100000	1.558336	2.013903	55.973999	48.309998	
0.100000	1.546209	1.935641	56.298000	49.279999	
0.100000	1.528513	1.879637	56.823997	51.629997	
0.100000	1.533989	1.767047	56.543999	53.539997	
0.100000	1.513971	1.811437	57.363998	52.119999	
0.100000	1.509995	1.744769	57.137997	54.189999	
0.100000	1.498054	1.725940	57.466000	52.969997	
0.100000	1.492558	1.830203	57.817997	50.869999	
0.100000	1.488630	1.709193	57.865997	54.340000	
0.100000	1.474609	1.870814	58.121998	50.610001	
0.100000	1.472920	1.762445	58.183998	52.579998	
0.100000	1.467353	1.865810	58.369999	51.539997	
0.100000	1.463747	1.734022	58.495998	52.730000	
0.100000	1.449341	1.714638	58.685997	54.149998	
0.100000	1.453572	1.672682	58.477997	54.899998	
0.100000	1.446450	1.766454	58.857998	53.299999	
0.100000	1.448177	1.811174	58.826000	51.799999	
0.100000	1.443251	1.784775	58.826000	52.149998	
0.100000	1.432812	1.671908	59.467999	55.070000	
0.100000	1.432380	1.664096	59.233997	53.980000	
0.100000	1.420754	1.952301	59.383999	50.980000	
0.100000	1.422530	1.703787	59.559998	54.829998	
0.100000	1.417923	1.660430	59.651997	55.379997	
0.100000	1.408750	1.637004	59.480000	55.750000	
0.100000	1.405887	1.748949	59.722000	54.160000	
0.100000	1.408220	1.716589	59.717999	53.529999	
0.100000	1.406184	1.744657	59.879997	53.489998	
0.100000	1.405149	1.604567	59.879997	56.209999	
0.100000	1.396552	1.719464	60.048000	54.509998	
0.100000	1.400217	1.899011	59.975998	51.230000	
0.100000	1.392561	1.800366	60.203999	52.340000	
0.100000	1.390687	1.669713	60.279999	54.719997	
0.100000	1.396146	1.951888	59.989998	50.340000	
0.100000	1.385829	1.782739	60.515999	53.039997	
0.100000	1.390270	1.621251	59.967999	55.799999	
0.100000	1.380967	1.627232	60.435997	54.949997	
0.100000	1.377106	1.955984	60.605999	50.879997	
0.100000	1.376585	1.713632	60.551998	54.309998	
0.100000	1.377285	1.792271	60.519997	53.129997	
0.100000	1.373183	1.639624	60.425999	55.219997	
