Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.938326	1.442842	71.967995	62.009998	
0.100000	0.927974	1.479396	72.245995	61.519997	
0.100000	0.937222	1.328534	71.841995	64.809998	
0.100000	0.928936	1.507784	72.169998	60.449997	
0.100000	0.931235	1.402421	71.802002	62.430000	
0.100000	0.919358	1.405686	72.580002	62.289997	
0.100000	0.921346	1.373739	72.278000	63.769997	
0.100000	0.925210	1.379450	72.297997	62.000000	
0.100000	0.913939	1.501671	72.514000	60.899998	
0.100000	0.915842	1.469665	72.501999	61.230000	
0.100000	0.928623	1.318289	72.119995	64.379997	
0.100000	0.919907	1.332976	72.241997	64.650002	
0.100000	0.917750	1.486830	72.421997	61.169998	
0.100000	0.922808	1.360331	72.463997	63.859997	
0.100000	0.916803	1.467739	72.498001	61.279999	
0.100000	0.924405	1.445287	72.365997	62.259998	
0.100000	0.917840	1.398859	72.515999	62.639999	
0.100000	0.923228	1.374625	72.194000	63.199997	
0.100000	0.917108	1.363258	72.400002	63.679996	
0.100000	0.913524	1.334399	72.363998	63.750000	
0.100000	0.917792	1.381198	72.479996	63.539997	
0.100000	0.914085	1.358167	72.666000	63.829998	
0.100000	0.920897	1.547604	72.287994	61.090000	
0.100000	0.919815	1.368648	72.292000	63.209999	
0.100000	0.918268	1.488591	72.407997	61.779999	
0.100000	0.910237	1.399469	72.785995	62.719997	
0.100000	0.915158	1.298205	72.599998	64.449997	
0.100000	0.910988	1.382017	72.393997	63.769997	
0.100000	0.907586	1.510582	72.689995	61.090000	
0.100000	0.901208	1.265360	72.769997	65.070000	
0.100000	0.906689	1.428802	72.451996	62.719997	
0.100000	0.909602	1.425694	72.683998	61.549999	
0.100000	0.907932	1.418685	72.867996	62.070000	
0.100000	0.904543	1.503624	72.692001	60.930000	
0.100000	0.905599	1.387481	72.792000	62.949997	
0.100000	0.898961	1.407912	72.951996	62.649998	
0.100000	0.912224	1.462343	72.509995	62.680000	
0.100000	0.909155	1.315691	72.821999	64.290001	
0.100000	0.893671	1.614959	73.183998	60.289997	
0.100000	0.902686	1.536270	72.961998	60.139999	
0.100000	0.900851	1.458499	73.029999	62.079998	
0.100000	0.898358	1.403112	72.930000	62.269997	
0.100000	0.900047	1.332217	73.054001	64.470001	
0.100000	0.899149	1.348911	72.785995	63.389999	
0.010000	0.577783	0.917299	82.783997	73.599998	
0.010000	0.482830	0.907126	85.709999	74.599998	
0.010000	0.446347	0.916016	86.598000	74.290001	
0.010000	0.421615	0.927087	87.278000	74.369995	
0.010000	0.401100	0.931907	88.045998	74.619995	
0.010000	0.388486	0.961105	88.325996	74.409996	
0.010000	0.371911	0.961367	88.579994	74.389999	
0.010000	0.358132	0.969173	89.112000	74.119995	
0.010000	0.348469	0.963542	89.365997	74.699997	
0.010000	0.336780	0.979988	89.776001	74.540001	
0.010000	0.326556	1.002488	90.033997	74.129997	
0.010000	0.315241	1.029026	90.367996	73.509995	
0.010000	0.308725	1.007039	90.528000	73.889999	
0.010000	0.303004	1.025545	90.745995	74.320000	
0.010000	0.293602	1.045140	90.947998	73.519997	
0.010000	0.292474	1.047132	91.033997	73.629997	
0.010000	0.286093	1.046916	91.251999	73.930000	
0.010000	0.280485	1.042420	91.320000	73.349998	
0.010000	0.273723	1.047566	91.559998	73.689995	
0.010000	0.265011	1.080234	91.837997	73.330002	
0.010000	0.264354	1.074864	91.781998	73.409996	
0.010000	0.259206	1.094849	91.921997	73.309998	
0.010000	0.255514	1.099951	92.070000	72.909996	
0.010000	0.252508	1.078626	92.164001	73.489998	
0.010000	0.248869	1.124307	92.194000	72.869995	
0.010000	0.248407	1.105288	92.197998	73.720001	
0.010000	0.246109	1.115001	92.323997	73.500000	
0.010000	0.245135	1.134486	92.325996	73.199997	
0.010000	0.239078	1.141222	92.486000	73.119995	
0.010000	0.235840	1.124489	92.641998	72.989998	
0.010000	0.229694	1.144705	92.939995	73.189995	
0.010000	0.235442	1.149497	92.725998	72.779999	
0.010000	0.223136	1.148162	93.149994	72.979996	
0.010000	0.229580	1.164840	92.825996	72.970001	
0.010000	0.225956	1.188332	92.953995	72.900002	
0.010000	0.218725	1.195336	93.143997	72.239998	
0.010000	0.226736	1.198788	92.797997	72.820000	
0.010000	0.223118	1.200724	93.014000	72.509995	
0.010000	0.225109	1.171484	92.935997	72.879997	
0.010000	0.217290	1.228796	93.201996	72.059998	
0.010000	0.219927	1.219639	93.029999	71.779999	
0.010000	0.223497	1.175795	92.776001	72.720001	
0.010000	0.214842	1.197616	93.318001	72.299995	
0.010000	0.213575	1.229387	93.220001	71.869995	
0.010000	0.218027	1.232939	93.043999	72.379997	
0.010000	0.219558	1.223799	92.981995	72.229996	
0.010000	0.220588	1.230862	93.056000	72.299995	
0.010000	0.219350	1.208697	92.902000	72.470001	
0.010000	0.218422	1.203562	92.889999	72.839996	
0.010000	0.217084	1.209168	93.107994	72.580002	
0.010000	0.215133	1.221862	93.201996	72.529999	
0.010000	0.218326	1.217828	93.125999	73.099998	
0.010000	0.216758	1.284345	93.079994	71.709999	
0.010000	0.214000	1.253100	93.299995	72.259995	
0.010000	0.214799	1.249872	93.195999	72.049995	
0.010000	0.217563	1.238418	93.161995	72.309998	
0.010000	0.218717	1.266968	93.047997	72.259995	
0.010000	0.215917	1.286772	93.271996	71.419998	
0.010000	0.219909	1.264421	92.951996	71.680000	
0.010000	0.213453	1.276141	93.145996	71.739998	
0.010000	0.218123	1.268695	93.045998	72.110001	
0.010000	0.215424	1.294898	93.262001	71.290001	
0.010000	0.215592	1.279031	93.173996	71.809998	
0.010000	0.222833	1.297662	92.921997	71.409996	
0.010000	0.211728	1.297329	93.367996	71.459999	
0.010000	0.216399	1.289365	93.129997	71.439995	
0.010000	0.220781	1.313458	92.874001	70.989998	
0.010000	0.217212	1.266525	93.029999	71.769997	
0.010000	0.215483	1.261932	93.042000	72.080002	
0.010000	0.218501	1.269925	93.029999	71.669998	
0.010000	0.217909	1.272575	93.096001	72.040001	
0.010000	0.212529	1.283052	93.215996	71.879997	
0.010000	0.216716	1.288395	93.133995	71.909996	
0.010000	0.214448	1.327742	93.139999	70.709999	
0.010000	0.223756	1.288139	92.977997	71.199997	
0.001000	0.145332	1.172582	95.935997	73.869995	
0.001000	0.118507	1.173446	96.862000	73.619995	
0.001000	0.109115	1.176474	97.278000	73.820000	
0.001000	0.102903	1.182795	97.584000	73.839996	
0.001000	0.097204	1.175377	97.771996	74.070000	
0.001000	0.097587	1.178411	97.759995	73.849998	
0.001000	0.093550	1.183669	97.895996	73.879997	
0.001000	0.089923	1.183945	98.015999	73.779999	
0.001000	0.088419	1.191029	98.171997	74.009995	
0.001000	0.086860	1.185720	98.119995	73.769997	
0.001000	0.085791	1.193158	98.149994	73.769997	
0.001000	0.086348	1.201557	98.085999	73.739998	
0.001000	0.083729	1.193190	98.290001	73.809998	
