Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.470442	1.142785	46.084000	59.769997	
0.100000	0.943191	0.950678	66.341995	67.729996	
0.100000	0.741592	0.761838	74.185997	74.540001	
0.100000	0.636401	0.614684	77.947998	79.169998	
0.100000	0.575215	0.614655	80.047997	78.529999	
0.100000	0.527037	0.634412	82.033997	78.989998	
0.100000	0.497418	0.661489	82.678001	78.659996	
0.100000	0.469116	0.534502	84.037994	82.259995	
0.100000	0.448721	0.516861	84.451996	82.559998	
0.100000	0.435401	0.519104	84.995995	82.349998	
0.100000	0.417545	0.503368	85.643997	83.049995	
0.100000	0.407655	0.595888	85.771996	80.739998	
0.100000	0.395519	0.491676	86.315994	83.599998	
0.100000	0.386324	0.569775	86.591995	82.119995	
0.100000	0.376840	0.550047	86.925995	82.739998	
0.100000	0.370429	0.451969	87.346001	85.559998	
0.100000	0.361529	0.466801	87.587997	84.549995	
0.100000	0.352490	0.469410	87.907997	84.559998	
0.100000	0.352329	0.505103	87.811996	83.470001	
0.100000	0.347369	0.462896	88.131996	84.839996	
0.100000	0.342941	0.618758	88.085999	80.879997	
0.100000	0.340055	0.445352	88.259995	85.400002	
0.100000	0.330516	0.445532	88.585999	85.000000	
0.100000	0.325602	0.415973	88.834000	85.680000	
0.100000	0.323652	0.598949	88.815994	80.869995	
0.100000	0.318930	0.432991	89.037994	86.019997	
0.100000	0.314552	0.374638	89.112000	87.619995	
0.100000	0.318184	0.440509	88.799995	85.699997	
0.100000	0.309472	0.450417	89.183998	85.299995	
0.100000	0.303632	0.483889	89.472000	84.689995	
0.100000	0.301754	0.434347	89.565994	85.949997	
0.100000	0.298964	0.495561	89.568001	84.220001	
0.100000	0.297928	0.466617	89.706001	85.189995	
0.100000	0.291463	0.547289	90.003998	82.220001	
0.100000	0.288741	0.385129	89.949997	87.529999	
0.100000	0.295281	0.464828	89.559998	85.009995	
0.100000	0.283256	0.355852	90.105995	88.299995	
0.100000	0.283468	0.414966	90.139999	86.720001	
0.100000	0.279758	0.400179	90.281998	87.070000	
0.100000	0.279202	0.426527	90.293999	86.389999	
0.100000	0.275502	0.488120	90.554001	85.070000	
0.100000	0.278515	0.514572	90.456001	84.019997	
0.100000	0.273698	0.384028	90.554001	87.470001	
0.100000	0.274088	0.402674	90.437996	86.930000	
0.100000	0.270587	0.403294	90.603996	86.559998	
0.100000	0.269350	0.374533	90.687996	87.589996	
0.100000	0.270765	0.428593	90.556000	86.040001	
0.100000	0.269790	0.334739	90.717995	88.919998	
0.100000	0.267869	0.349447	90.692001	88.619995	
0.100000	0.269455	0.360358	90.661995	88.059998	
0.100000	0.264942	0.437028	90.835999	85.750000	
0.100000	0.262274	0.415022	90.865997	86.860001	
0.100000	0.261391	0.445499	90.909996	85.629997	
0.100000	0.258841	0.480518	90.914001	85.059998	
0.100000	0.262551	0.372874	90.979996	87.619995	
