Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.520348	1.321038	43.466000	53.079998	
0.100000	1.048859	1.094097	62.557999	63.119999	
0.100000	0.902157	0.964717	67.848000	66.869995	
0.100000	0.812935	0.799937	71.220001	72.110001	
0.100000	0.732834	0.762038	74.405998	74.509995	
0.100000	0.684618	0.704892	76.211998	75.909996	
0.100000	0.653045	0.720125	77.206001	75.430000	
0.100000	0.618403	0.714209	78.563995	75.790001	
0.100000	0.596413	0.717272	79.043999	76.799995	
0.100000	0.583193	0.698142	79.881996	76.839996	
0.100000	0.565898	0.629704	80.363998	79.409996	
0.100000	0.555957	0.675005	80.931999	77.489998	
0.100000	0.543090	0.593086	81.318001	79.860001	
0.100000	0.528967	0.658728	81.667999	78.579994	
0.100000	0.522706	0.565732	81.900002	80.930000	
0.100000	0.513590	0.544390	82.227997	82.040001	
0.100000	0.504234	0.583118	82.823997	81.139999	
0.100000	0.495480	0.677024	83.000000	77.989998	
0.100000	0.489525	0.545490	83.087997	81.029999	
0.100000	0.486903	0.605171	83.278000	80.220001	
0.100000	0.486824	0.555617	83.043999	81.159996	
0.100000	0.482031	0.569003	83.264000	80.259995	
0.100000	0.473276	0.541220	83.762001	82.329994	
0.100000	0.472939	0.490486	83.851997	83.629997	
0.100000	0.459911	0.707638	84.197998	77.869995	
0.100000	0.465808	0.652678	83.843994	78.589996	
0.100000	0.459401	0.564574	84.141998	81.619995	
0.100000	0.447085	0.646416	84.515999	79.459999	
0.100000	0.450292	0.655568	84.430000	79.379997	
0.100000	0.449572	0.573986	84.681999	81.239998	
0.100000	0.441571	0.516335	84.785995	82.669998	
0.100000	0.442873	0.627136	84.771996	79.019997	
0.100000	0.442000	0.561106	84.685997	81.829994	
0.100000	0.435974	0.746763	84.979996	75.839996	
0.100000	0.436263	0.533690	84.923996	82.509995	
0.100000	0.433950	0.542144	84.993996	82.169998	
0.100000	0.430023	0.981429	85.365997	71.549995	
0.100000	0.434500	0.508966	84.987999	83.150002	
0.100000	0.423828	0.560406	85.192001	81.079994	
0.100000	0.419232	0.514942	85.523994	82.729996	
0.100000	0.424022	0.597439	85.428001	80.779999	
0.100000	0.418105	0.531913	85.720001	82.000000	
0.100000	0.422317	0.542176	85.397995	82.579994	
0.100000	0.418264	0.500776	85.579994	83.400002	
0.100000	0.420009	0.508565	85.543999	83.150002	
0.100000	0.408875	0.496826	85.989998	83.409996	
0.100000	0.413856	0.535993	85.669998	82.430000	
0.100000	0.412472	0.521704	85.694000	83.089996	
0.100000	0.410837	0.631576	85.755997	80.040001	
0.100000	0.409549	0.600245	85.879997	80.949997	
0.100000	0.410241	0.458772	85.767998	84.360001	
0.100000	0.406908	0.590267	86.028000	81.269997	
0.100000	0.410846	0.496124	85.804001	83.259995	
0.100000	0.409640	0.548607	85.701996	82.290001	
0.100000	0.406932	0.619726	85.945999	80.299995	
0.100000	0.405846	0.523901	85.907997	83.139999	
0.100000	0.403945	0.680803	86.234001	77.989998	
0.100000	0.406608	0.597873	86.042000	80.449997	
0.100000	0.401202	0.466303	86.241997	84.509995	
0.100000	0.398776	0.492840	86.107994	83.750000	
0.100000	0.399926	0.492164	86.068001	83.750000	
0.100000	0.403960	0.528212	86.124001	82.409996	
0.100000	0.400750	0.444338	86.054001	84.639999	
0.100000	0.393521	0.596759	86.533997	81.279999	
0.100000	0.400169	0.480030	86.264000	84.400002	
0.100000	0.394620	0.614555	86.514000	80.889999	
0.100000	0.399573	0.482668	86.250000	83.549995	
0.100000	0.393155	0.495844	86.251999	83.500000	
0.100000	0.395181	0.515411	86.231995	83.519997	
0.100000	0.398668	0.728937	86.178001	78.279999	
0.100000	0.395068	0.512224	86.458000	83.309998	
0.100000	0.394244	0.580730	86.442001	80.860001	
0.100000	0.386846	0.532494	86.731995	82.199997	
0.100000	0.391445	0.505822	86.575996	82.949997	
0.100000	0.396717	0.499091	86.301994	83.500000	
0.100000	0.387803	0.473799	86.601997	84.720001	
0.100000	0.394501	0.530461	86.537994	82.680000	
0.100000	0.392430	0.510470	86.605995	83.949997	
0.100000	0.393438	0.509591	86.374001	82.939995	
0.100000	0.391310	0.586739	86.435997	81.239998	
0.100000	0.384349	0.479327	86.731995	84.180000	
0.100000	0.393579	0.541488	86.411995	82.570000	
0.100000	0.382246	0.450178	86.871994	84.949997	
0.100000	0.390332	0.477071	86.629997	84.209999	
0.100000	0.387829	0.503438	86.615997	83.739998	
0.100000	0.381746	0.535097	86.741997	82.959999	
0.100000	0.384999	0.457460	86.517998	84.509995	
0.100000	0.383904	0.500569	86.815994	83.290001	
0.100000	0.384624	0.609115	86.605995	80.809998	
0.100000	0.385157	0.536572	86.753998	82.659996	
0.100000	0.386580	0.491838	86.621994	83.799995	
0.100000	0.384599	0.499041	86.757996	84.119995	
